TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
1/1/2025,26.2,31.8,28,82,8.5,2,4,320,2,NW
2/1/2025,25,32.4,27.1,89,36.2,0,4,340,1,N
3/1/2025,25.6,34.6,29.3,74,0.6,1.4,3,300,2,NW
4/1/2025,26,33.8,29.2,73,0,7.5,6,350,3,NW
5/1/2025,25.9,33.8,27.8,81,6.8,3.8,6,310,2,S
6/1/2025,25.4,33.2,28.6,82,37,3,6,360,2,N
7/1/2025,25.6,34.2,28.8,79,0,5.2,6,350,3,NW
8/1/2025,25.6,32,28.9,78,0,6.7,7,330,2,NW
9/1/2025,26.6,34.6,29.9,75,1.3,3.3,6,300,3,NW
10/1/2025,26,34.6,29.3,76,0,7.2,5,300,2,NW
11/1/2025,26.5,34.4,28.6,81,38,3.4,5,160,2,NW
12/1/2025,23.6,33.4,28.5,80,43.5,2.7,5,300,3,NW
13/1/2025,25.2,32.4,28.1,81,36.1,6.1,4,160,2,C
14/1/2025,26.5,35,29.5,79,8888,4.8,6,300,2,NW
15/1/2025,25.2,32.4,28.7,81,17.8,6.7,5,320,3,NW
16/1/2025,25.4,33.6,28.6,80,13.2,2.9,9,300,4,NW
17/1/2025,26.2,33.2,28.6,77,10.4,0.1,5,300,3,NW
18/1/2025,25.3,33.4,28.4,81,31.5,5.4,7,300,3,NW
19/1/2025,25.8,34.7,29.4,75,7.8,7.2,8,320,5,NW
20/1/2025,25,33.4,28.5,80,25.5,6.8,7,360,3,W
21/1/2025,24.3,33,27.6,82,84.9,3.5,5,300,2,NW
22/1/2025,24.8,32.4,28.5,79,3.1,1.4,4,300,2,NW
23/1/2025,25.2,33.2,28,84,10.7,0.9,5,310,2,NW
24/1/2025,25.8,32.6,28.9,79,8888,0,3,10,2,NW
25/1/2025,26,34.2,29.3,78,0,1.2,5,330,2,NW
26/1/2025,24.4,33.9,28.5,83,57.5,5,6,340,3,NW
27/1/2025,25.4,29,26.8,88,12,6.5,6,270,3,NW
28/1/2025,24.7,31.8,27.6,81,1,0,5,330,2,NW
29/1/2025,25,32,28.3,81,0,1,7,260,4,NW
30/1/2025,25,30.2,26.7,82,4.1,5.1,6,310,4,W
31/1/2025,25.4,30.8,27.8,79,8888,0,6,310,3,NW
1/2/2025,25.7,30.7,28.4,77,0,1.2,8,310,5,NW
2/2/2025,26.9,32.4,28.2,84,0,1.8,8,300,4,NW
3/2/2025,25.2,33.2,28.4,80,9.7,2.5,9,320,5,NW
4/2/2025,26.2,32.6,28.7,81,8888,2.8,7,290,4,NW
5/2/2025,26.6,32.8,28.7,81,4.3,2.9,8,310,3,NW
6/2/2025,26.4,32.4,28.8,77,1.3,5.3,7,300,4,NW
7/2/2025,25.7,33.8,29.1,76,8888,7.1,7,300,4,NW
8/2/2025,24.8,34.7,29,77,31.5,4.4,8,300,5,NW
9/2/2025,26,35,28.6,79,2.2,5.2,9,300,5,NW
10/2/2025,25.6,34.6,28.9,79,6.6,6.4,7,290,4,NW
11/2/2025,26.4,33.6,29.2,74,0,3.3,5,290,3,NW
12/2/2025,26.6,35.2,30,67,0,6,5,290,3,NW
13/2/2025,26.6,34.4,28.4,79,8888,5.4,6,330,3,NW
14/2/2025,24.6,33,28.3,84,39.9,5.7,7,350,3,NW
15/2/2025,26.1,33.2,29.4,78,0,4.6,7,340,3,NW
16/2/2025,26,34,29.4,75,1.5,7.5,7,350,3,NW
17/2/2025,26.6,34.2,29.1,78,4.2,6.9,13,260,3,NW
18/2/2025,25.4,33.8,29.3,77,8888,4.6,4,350,2,N
19/2/2025,26.4,34.8,29.9,74,0,5,6,350,3,W
20/2/2025,26.6,34.9,28.6,80,0,6.2,5,360,2,NW
21/2/2025,25.4,33.8,28.9,78,9.4,1.5,6,330,2,NW
22/2/2025,26.4,32.4,28,83,0,5.5,7,330,3,SE
23/2/2025,26,31.4,27.6,86,3.5,4.6,6,320,2,N
24/2/2025,25,32.6,27.8,84,18.4,1.2,6,360,2,N
25/2/2025,24.4,33.8,28.5,76,17.1,2,4,310,2,S
26/2/2025,25.2,33.4,27.7,84,1,7,4,360,2,W
27/2/2025,25.4,32.6,28,82,7,1.9,3,50,2,NE
28/2/2025,25.9,32.6,28.7,79,0,3.4,5,360,2,N
1/3/2025,24.5,33,28.1,81,34.7,2.8,3,170,1,C
2/3/2025,25.4,34.2,29.4,77,0,2.9,4,60,2,E
3/3/2025,26.2,34.2,30.1,75,0,6.7,4,140,2,SE
4/3/2025,27.6,34.6,29.6,79,0.9,8,4,70,2,E
5/3/2025,27.3,34.9,30.1,75,0,6.4,6,120,2,E
6/3/2025,27.5,34.7,29.7,80,0,7.6,6,350,2,E
7/3/2025,25.8,35,29.5,78,1,5.3,6,360,3,N
8/3/2025,26.2,32.6,27.7,85,8888,6.4,5,340,2,N
9/3/2025,25.3,32.2,26.8,88,1.5,4.3,4,110,2,S
10/3/2025,25.6,32.6,28.3,82,8.5,3.2,7,310,2,NW
11/3/2025,26.6,34.6,29.8,76,1,2.6,5,320,2,N
12/3/2025,27.3,34,30.3,76,0,5,8,350,3,S
13/3/2025,27,33.2,29.1,79,0,8,4,350,2,NW
14/3/2025,24.9,32.8,28,83,2.2,4.4,4,60,2,SE
15/3/2025,26.5,33.4,28.7,83,8888,2.4,6,300,2,NW
16/3/2025,25,33.4,27.8,83,9.4,1.9,6,180,2,NW
17/3/2025,25,32,28.6,81,10,2.8,4,320,3,NW
18/3/2025,26.2,34.6,29.6,71,0,1.4,5,290,3,W
19/3/2025,26.2,32.9,28.2,80,8,5.3,8,310,2,NW
20/3/2025,25.8,35.6,29.7,75,12.3,3.5,6,310,3,NW
21/3/2025,26.4,34.9,28.6,77,0.8,5.9,9,300,5,NW
22/3/2025,25,33,28.5,82,17.2,6.4,7,330,4,NW
23/3/2025,25.5,33.4,28.8,81,22,1.5,6,320,3,NW
